Emotion,Quote
Sad,Sadness is like the sea; it comes in waves.
Sad,Every ending is a new beginning.
Sad,You are not alone in your struggles.
Sad,Your sadness does not define you.
Sad,Even the longest night will end with sunrise.
Sad,Tears cleanse the soul.
Sad,Growth often comes through pain.
Sad,You are stronger than you realize.
Sad,You have survived 100% of your worst days.
Sad,"Let yourself feel, then let yourself heal."
Sad,"Sadness is a chapter, not the whole story."
Sad,Crying doesn’t mean you’re weak; it means you’re human.
Sad,It’s okay to not be okay.
Angry,"Control your anger, or it will control you."
Angry,The best fighter is never angry.
Angry,Speak when you are angry and you will make the best speech you will ever regret.
Angry,"For every minute you remain angry, you give up sixty seconds of peace of mind."
Angry,"When anger rises, think of the consequences."
Angry,Calmness is the cradle of power.
Angry,Anger is a wind which blows out the lamp of the mind.
Angry,Never reply when you are angry. Never make a promise when you are happy.
Angry,"Anger doesn’t solve anything. It builds nothing, but it can destroy everything."
Angry,Holding onto anger is like drinking poison and expecting the other person to die.
Angry,Do not let your anger control you.
Angry,"Master your emotions, master your life."
Angry,Anger is a passing storm; don’t let it become your climate.
Angry,Turn your anger into motivation.
Angry,Anger is one letter away from danger.
Angry,"Speak softly, even when you burn inside."
Angry,A moment of patience can prevent a lifetime of regret.
Angry,Peace is always the better option.
Angry,Forgiveness is the ultimate form of strength.
Angry,"Release anger, embrace peace."
Angry,"Breathe through the rage, find your calm."
Angry,Let go of anger before it controls you.
Angry,You always have the choice to stay calm.
Angry,Holding onto anger only hurts yourself.
Angry,"Turn anger into action, not destruction."
Angry,"Breathe, pause, and then respond."
Angry,Anger is a fire; don’t let it consume you.
Angry,"Strength is shown in patience, not rage."
Angry,Control your anger before it controls you.
Angry,"Let go, and free yourself from negativity."
Angry,"Anger does not solve problems, peace does."
Angry,Peace is the best reply to provocation.
Angry,"Respond with wisdom, not rage."
Depression,"Healing takes time, and that’s okay."
Depression,You are stronger than your struggles.
Depression,Stars can’t shine without darkness.
Depression,Your value is not determined by how you feel.
Depression,One small step forward is still progress.
Depression,The pain you feel today will be the strength you feel tomorrow.
Depression,Your current situation is not your final destination.
Depression,Hope is the only thing stronger than fear.
Depression,Even the darkest clouds have silver linings.
Depression,"You are not alone, and this moment will not last forever."
Depression,This too shall pass.
Depression,Even the heaviest clouds pass.
Depression,"You matter, even when it doesn’t feel like it."
Depression,Your story isn’t over yet.
Depression,You are not your darkest thoughts.
Depression,Hope is a powerful healer.
Depression,"Pain is temporary, strength is forever."
Depression,One day at a time.
Depression,You are more than your struggles.
Depression,Your light is still shining.
Depression,Keep going; better days are ahead.
Depression,Your presence in this world is a gift.
Depression,"Even on hard days, you are still moving forward."
Depression,You are not broken; you are growing.
Depression,This pain will pass; brighter days are ahead.
Depression,"You are enough, just as you are."
Depression,It’s okay to ask for help.
Depression,The world is better with you in it.
Depression,"Even in darkness, you are still loved."
Depression,Your story isn’t over yet.
Depression,"Healing is a journey, not a destination."
Depression,There is strength in surviving the storm.
Depression,You are worthy of happiness and love.
Fear,Fear is temporary. Regret is forever.
Fear,Do one thing every day that scares you.
Fear,Fear defeats more people than any other one thing in the world.
Fear,Everything you’ve ever wanted is on the other side of fear.
Fear,Fear is only as deep as the mind allows.
Fear,"Do what you fear, and the fear will disappear."
Fear,The only thing we have to fear is fear itself.
Fear,Feel the fear and do it anyway.
Fear,Fear is the enemy of progress.
Fear,Fears are nothing more than a state of mind.
Fear,"Courage is resistance to fear, mastery of fear, not absence of fear."
Fear,Face your fears; they lose power.
Fear,Don’t let fear silence your dreams.
Fear,Doubt kills more dreams than failure ever will.
Fear,Your comfort zone is your enemy.
Fear,Fear is a liar.
Fear,You are braver than your fears.
Fear,Courage grows when you challenge fear.
Fear,Fear fades when you take action.
Fear,Fear is just excitement without breath.
Fear,"Feel the fear, do it anyway."
Fear,The only way out is through.
Fear,Let courage be your guide.
Fear,Fear is an illusion; step past it.
Fear,Fear loses power when faced head-on.
Fear,Every great achievement begins with a step past fear.
Fear,The best things in life are on the other side of fear.
Fear,Fear is a test of your courage.
Fear,Everything you need is already within you.
Fear,Rise above your doubts and fears.
Fear,Your dreams are bigger than your fears.
Fear,Fear is temporary; regret lasts forever.
Fear,You are capable of more than you know.
Surprise,"Sometimes, surprises lead to the best moments."
Surprise,The best things in life are unexpected.
Surprise,Let life surprise you in the best ways.
Surprise,An unexpected turn can lead to the best destination.
Surprise,The unexpected moment is always sweeter.
Surprise,"Life is full of surprises, just embrace them."
Surprise,Surprises create the best memories.
Surprise,"Sometimes, the best journeys begin with surprises."
Surprise,Surprises are the joy of life.
Surprise,"Expect nothing, appreciate everything."
Surprise,A surprise is the greatest gift life can grant us.
Surprise,Serendipity is life’s gift to the open-minded.
Surprise,A surprise today can change everything.
Surprise,"Sometimes, the best things come out of nowhere."
Surprise,Surprises add flavor to life.
Surprise,Unexpected joys make life exciting.
Surprise,The unknown holds the greatest adventures.
Surprise,Embrace the unexpected with open arms.
Surprise,Be open to the magic of surprises.
Surprise,Life loves to surprise those who embrace change.
Surprise,Life’s best moments are unexpected.
Surprise,Be prepared for the unexpected.
Surprise,The best things happen when we least expect them.
Surprise,Surprises teach us the power of adaptability.
Surprise,Unexpected joys make the best memories.
Surprise,What you least expect might be what you need most.
Surprise,Change often comes disguised as a surprise.
Surprise,Be open to the beauty of the unexpected.
Surprise,Life’s best gifts often come as surprises.
Surprise,Embrace the unexpected; life is full of wonders.
Surprise,Every surprise is a new opportunity in disguise.
Surprise,"Sometimes, surprises lead to the best opportunities."
Surprise,The joy of surprise makes life exciting.
Neutral,"Success is not final, failure is not fatal: it is the courage to continue that counts."
Neutral,"Do what you can, with what you have, where you are."
Neutral,The secret of getting ahead is getting started.
Neutral,It always seems impossible until it’s done.
Neutral,Act as if what you do makes a difference. It does.
Neutral,Don’t watch the clock; do what it does. Keep going.
Neutral,Small deeds done are better than great deeds planned.
Neutral,Start where you are. Use what you have. Do what you can.
Neutral,The only way to do great work is to love what you do.
Neutral,"You don’t have to be great to start, but you have to start to be great."
Neutral,An investment in knowledge pays the best interest.
Neutral,The beautiful thing about learning is that nobody can take it away from you.
Neutral,"He who opens a school door, closes a prison."
Neutral,Live as if you were to die tomorrow. Learn as if you were to live forever.
Neutral,Success is stumbling from failure to failure with no loss of enthusiasm.
Neutral,"There is no failure, only feedback."
Neutral,Growth and comfort do not coexist.
Neutral,Mistakes are proof that you are trying.
Neutral,The capacity to learn is a gift; the ability to learn is a skill; the willingness to learn is a choice.
Neutral,The expert in anything was once a beginner.
Neutral,"Tough times never last, but tough people do."
Neutral,"Courage doesn’t always roar. Sometimes courage is the quiet voice at the end of the day saying, ‘I will try again tomorrow.’"
Neutral,It does not matter how slowly you go as long as you do not stop.
Neutral,Perseverance is not a long race; it is many short races one after another.
Neutral,"Difficulties strengthen the mind, as labor does the body."
Neutral,Do not anticipate trouble or worry about what may never happen. Keep in the sunlight.
Neutral,"The greater the obstacle, the more glory in overcoming it."
Neutral,"Courage is resistance to fear, mastery of fear—not absence of fear."
Neutral,Strength grows in the moments when you think you can't go on but keep going anyway.
Neutral,You never know how strong you are until being strong is your only choice.
Neutral,Change is the law of life. And those who look only to the past or present are certain to miss the future.
Neutral,The measure of intelligence is the ability to change.
Neutral,Adaptability is about the powerful difference between adapting to cope and adapting to win.
Neutral,"It’s not the strongest of the species that survives, nor the most intelligent, but the one most responsive to change."
Neutral,"A wise man adapts himself to circumstances, as water shapes itself to the vessel that contains it."
Neutral,To improve is to change; to be perfect is to change often.
Neutral,"Progress is impossible without change, and those who cannot change their minds cannot change anything."
Neutral,The art of life is a constant readjustment to our surroundings.
Neutral,"When patterns are broken, new worlds emerge."
Neutral,Change begins at the end of your comfort zone.
